MapDate,Region,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20221129,West,37.36,62.64,46.04,30.03,11.78,1.35,2022-11-29,2022-12-05,1
20221129,Southeast,45.38,54.62,30.54,10.01,0.00,0.00,2022-11-29,2022-12-05,1
20221129,High Plains,8.25,91.75,75.23,44.07,21.97,8.36,2022-11-29,2022-12-05,1
20221129,Northeast,89.43,10.57,2.06,0.13,0.00,0.00,2022-11-29,2022-12-05,1
20221129,South,17.09,82.91,60.98,33.17,13.19,3.33,2022-11-29,2022-12-05,1
20221129,Midwest,26.31,73.69,44.48,11.87,2.39,0.06,2022-11-29,2022-12-05,1
20221122,South,9.29,90.71,69.21,36.28,16.00,3.82,2022-11-22,2022-11-28,1
20221122,West,36.96,63.04,46.39,30.40,12.48,1.35,2022-11-22,2022-11-28,1
20221122,High Plains,6.86,93.14,75.87,44.39,21.97,8.36,2022-11-22,2022-11-28,1
20221122,Southeast,42.34,57.66,28.37,9.38,0.00,0.00,2022-11-22,2022-11-28,1
20221122,Northeast,89.68,10.32,1.98,0.13,0.00,0.00,2022-11-22,2022-11-28,1
20221122,Midwest,25.40,74.60,46.61,12.95,2.71,0.06,2022-11-22,2022-11-28,1
20221115,Northeast,88.94,11.06,2.04,0.19,0.00,0.00,2022-11-15,2022-11-21,1
20221115,Midwest,25.93,74.07,46.12,11.91,2.71,0.06,2022-11-15,2022-11-21,1
20221115,High Plains,6.99,93.01,75.71,43.98,21.74,8.33,2022-11-15,2022-11-21,1
20221115,South,7.63,92.37,69.33,36.67,16.07,3.65,2022-11-15,2022-11-21,1
20221115,Southeast,44.17,55.83,27.06,9.09,0.00,0.00,2022-11-15,2022-11-21,1
20221115,West,36.87,63.13,46.34,30.46,12.42,1.35,2022-11-15,2022-11-21,1
20221108,High Plains,6.16,93.84,76.11,46.54,21.79,7.97,2022-11-08,2022-11-14,1
20221108,Northeast,69.98,30.02,2.78,0.37,0.00,0.00,2022-11-08,2022-11-14,1
20221108,Southeast,33.31,66.69,31.12,12.98,0.00,0.00,2022-11-08,2022-11-14,1
20221108,West,36.63,63.37,46.31,30.95,12.74,1.69,2022-11-08,2022-11-14,1
20221108,Midwest,23.26,76.74,48.64,15.06,2.97,0.06,2022-11-08,2022-11-14,1
20221108,South,6.39,93.61,70.97,38.35,16.10,3.86,2022-11-08,2022-11-14,1
20221101,Northeast,79.09,20.91,2.15,0.37,0.00,0.00,2022-11-01,2022-11-07,1
20221101,High Plains,6.16,93.84,76.17,45.63,20.50,7.93,2022-11-01,2022-11-07,1
20221101,Midwest,18.98,81.02,48.85,17.88,4.09,0.02,2022-11-01,2022-11-07,1
20221101,South,4.62,95.38,78.01,43.43,16.56,3.68,2022-11-01,2022-11-07,1
